1|Led Zeppelin|Led Zeppelin.png|England|Acknowledged as the most successful and influential band of the heavy rock era, with a catalog that continues to inspire.|Classic Rock|5|False
2|The Beatles|The Beatles.png|England|The most popular and influential rock act of all time, a band that blazed several new trails for popular music.|Classic Rock|5|False
3|The Doors|The Doors.png|USA|Mystical blues-based rock group based around the dark poetry and shamanic presence of Jim Morrison. |Classic Rock|5|False
4|The Police|The Police.png|England|British rock trio with an innovative rock/reggae fusion, superb songwriting, and crossover appeal that shot them straight to international stardom.|Rock|5|False
5|Nirvana|Nirvana.png|USA|Nirvana fue una banda de grunge estadounidense procedente de Aberdeen, Washington, Estados Unidos integrada por el vocalista y guitarrista Kurt Cobain y el bajista Krist Novoselic en 1987.|Grunge|5|False
6|La Vela Puerca|La Vela Puerca.png|Uruguay||Rock Uruguayo|4|False
7|Patricio Rey & Sus Redonditos De Ricota|Patricio Rey & Sus Redonditos De Ricota.png|Argentina|Patricio Rey & Sus Redonditos De Ricota|Rock Argentino|5|False
8|Pearl Jam|Pearl Jam.png|USA|Pearl Jam es un grupo de grunge y rock alternativo formado en Seattle, Estados Unidos, en el año 1990. Con la edición de su su álbum debut Ten en 1991, Pearl Jam irrumpiría con fuerza en el ámbito musical.|Grunge|5|False
9|Trotsky Vengarán|Trotsky Vengarán.png|Uruguay||Rock Uruguayo|5|False
10|The Who|The Who.png|England|An explosive combo that pioneered progressive and arena rock, each new sound increasing their influence and legacy.|Classic Rock|3|False
11|Buitres|Buitres.png|Uruguay|Buitres Después de la Una, abreviado BDDL1, o simplemente Buitres, es un grupo uruguayo de rock formado en 1989 tras la separación de Los Estómagos. |Rock Uruguayo|5|False
12|La Trampa|La Trampa.png|Uruguay||Rock Uruguayo|5|False
13|Hereford|Hereford.png|Uruguay||Rock Uruguayo|5|False
14|Medeski, Martin & Wood|MMW.png|USA|Progressive New York City-based jazz fusionists who straddle the gap between avant-garde improvisation and accessible groove-based jazz.|Jazz|4|False
15|John Scofield|John Scofield.png|USA||Jazz|5|False
16|Bufon|Bufon.png|Uruguay||Rock Uruguayo|4|False
17|El Cuarteto De Nos|El Cuarteto de Nos.png|Uruguay||Rock Uruguayo|5|False
18|Los Traidores|Los Traidores.png|Uruguay||Rock Uruguayo|5|False
19|Los Estomagos|Los Estomagos.png|Uruguay||Rock Uruguayo|5|False
20|El Peyote Asesino|El Peyote Asesino.png|Uruguay||Rock Uruguayo|5|False
21|Abuela Coca|Abuela Coca.png|Uruguay||Rock Uruguayo|3|False
22|Astroboy|Astroboy.png|Uruguay||Rock Uruguayo|3|False
23|Chicos Electricos|Chicos Electricos.png|Uruguay||Rock Uruguayo|4|False
24|Gillespi|Gillespi.png|Argentina||Jazz|4|False
25|Cadaveres Ilustres|Cadaveres Ilustres.png|Uruguay||Rock Uruguayo|3|False
