56|Esto Tampoco es Plaza Italia|18:00-19:30|0,1,2,3,4|Marcelo Comparini y Marco Silva||0|False||32
57|Esto no es Plaza Italia|07:00-09:00|0,1,2,3,4|Marcelo Comparini y Marco Silva||0|False||32
58|Tarde Oasis|15:00-17:00|0,1,2,3,4|Carolina Urrejola||0|False||32
59|Intensamente|19:30-20:30|0,1,2,3,4|Monserrat Álvarez||0|False||32
60|Aloha Oasis|17:00-18:00|0,1,2,3,4|Werne Nuñez||0|False||32
61|Rebobinar|12:00-13:00|0,1,2,3,4|Werne Nuñez||0|False||32
62|Ruta Oasis|13:00-15:00|0,1,2,3,4|Virginia Demaria||0|False||32
63|Canciones Cómplices|09:00-11:00|0,1,2,3,4|Pablo Márquez||0|False||32
64|Post|20:00-23:59|0,1,2,3,4|Musica||0|False||1
65|La Venganza Sera Terrible|00:00-02:00|1,2,3,4,5|Alejandro Dolina, Patricio Barton, Gillespi||0|False||2
66|Malos Pensamientos|15:00-19:00|0,1,2,3,4|Orlando Petinatti||0|False||46
67|Radiomental|10:00-13:00|0,1,2,3,4|||0|False|None|46
68|Poder Ciudadano Radio|07:00-10:00|0,1,2,3,4|Miguel Nogueira, Jorge Gatti||0|False||46
69|Informativo Sarandí|07:00-09:00|0,1,2,3,4|||0|False|None|11
70|Arriba|09:00-14:00|0,1,2,3,4|||0|False|None|11
71|Frecuencia Futura|14:00-19:00|0,1,2,3,4|||0|False|None|11
72|Rock Boulevard|19:00-21:00|0,1,2,3,4|||0|False|None|11
73|Rock Bonus Track|21:00-23:00|0,1,2,3,4|||0|False|None|11
74|Metal Inoxidable|23:00-23:59|0,1,2,3,4|||0|False|None|11
75|En la noche|00:00-07:00|0,1,2,3,4|||0|False|None|11
76|Fuentes confiables|07:00-10:00|0,1,2,3,4|Aldo Silva||0|False||28
77|La oral deportiva del mediodía|12:30-14:00|0,1,2,3,4|Alberto Kesman||0|False||28
78|La oral deportiva de la noche|19:00-21:00|0,1,2,3,4|Ernesto Faría||0|False||28
79|De taquito a la mañana|10:00-12:00|0,1,2,3,4|Camila Cibils, Paula Echevarria, Cecilia Olivera||0|False||28
80|Maldición va a ser un día hermoso|06:00-10:00|0,1,2,3,4|Mario Pergolini y Marcelo Gantman||0|False||13
81|Back Up|13:00-16:00|0,1,2,3,4|Ramiro Quesada||0|False||13
82|Malditos Nerds|16:00-18:00|0,1,2,3,4|Maxi Peñalver||0|False||13
83|Dos Pelados|18:00-20:00|0,1,2,3,4|Diego Miller y Emiliano Goggia||0|False||13
84|Delicias de un Charlatán|20:00-23:00|0,1,2,3,4|Dani Jiménez||0|False||13
85|El Quinto Escalón|23:00-23:59|0,1,2,3,4|Muphasa MC||0|False||13
86|Generacion Perdida|10:00-13:00|0,1,2,3,4|||0|False||13
87|No toquen Nada (Concentrado)|20:30-21:00|0,1,2,3,4|Joel, Sueco, Darwin||0|False||2
88|La Música DelSol|21:00-23:59|0,1,2,3|||0|False|None|2
89|Locos por el Fútbol|00:00-03:00|0,6|Adrián, Daniel Richard, Germán y Yuri.||0|False||2
90|La Música DelSol|03:00-07:00|0|||0|False||2
91|La Música DelSol|02:00-07:00|1,2,3,4,5|||0|False||2
92|Abran cancha|12:00-14:00|5|Horacio Abadie||0|False|https://twitter.com/995abrancancha|2
93|Ciudad Paraíso|21:00-23:59|4|Diego González||0|False||2
95|Post|00:00-07:00|0,1,2,3,4|Musica||0|False||1
96|Play|21:00-23:59|5|||0|False|None|1
97|Play|00:00-01:00|6|||0|False|None|1
98|Basta de Hablar|14:00-18:00|5|||0|False|None|1
99|Post|18:00-21:00|5|||0|False|None|1
100|Compacto Todo Pasa|08:00-12:00|5|||0|False|None|1
101|Compacto De Arriba Un Rayo|12:00-14:00|5|||0|False|None|1
102|Compacto Abrepalabra|20:00-23:59|6|||0|False|None|1
103|Basta de Hablar|15:00-18:00|6|||0|False|None|1
104|Weekend Deportivo|13:00-15:00|6|||0|False|None|1
105|Océano Blues Y Rock&Roll|11:00-13:00|6|||0|False|None|1
106|Camino a La Cancha|08:00-09:30|6|||0|False|None|1
107|El Toque|09:30-11:00|6|||0|False|None|1
108|Del 70 al 90|07:00-08:00|6|||0|False|None|1
109|Música|18:00-20:00|6|||0|False|None|1
110|Post|01:00-07:00|6|||0|False|None|1
111|Post|00:00-08:00|5|||0|False|None|1
113|No Toquen nada (Rep)|08:00-12:00|5|||0|False|None|2
114|La Mesa de los Galanes (Rep)|14:00-16:00|5,6|||0|False||2
115|13 a 0|16:00-18:00|5,6|||0|False||2
116|La Música DelSol|18:00-23:59|5,6|||0|False||2
117|La Música DelSol|03:00-10:00|6|||0|False|None|2
118|Quien Te Dice (Rep)|10:00-11:00|6|||0|False|None|2
119|Facil Desviarse (Rep)|11:00-14:00|6|||0|False||2
120|Antes que Nadie|05:00-06:00|0,1,2,3,4|Florencia Halfon y Olivia Sohr||0|False||5
121|Sensacional Éxito|22:00-23:59|0,1,2,3,4|Luciano Banchero y Fiorella Sargenti||0|False||5
122|Sensacional Éxito|00:00-01:00|1,2,3,4,5|||0|False|None|5
123|Night life|00:00-05:00|0|||0|False||5
124|Night life|01:00-05:00|1,2,3,4|||0|False||5
125|Transformaciones|22:30-23:30|0,1,2,3,4|||0|False|None|48
126|Informativo Sarandí |22:00-22:30|0,1,2,3,4|||0|False|None|48
127|Vorterix Rock|00:00-06:00|1,2,3,4|||0|False|None|13
128|Vorterix Rock|01:00-06:00|0|||0|False|None|13
129|Vorterix Metal|00:00-01:00|0|||0|False|None|13
130|Vorterix Metal|20:00-23:59|6|||0|False|None|13
132|Jazz1|14:00-15:08|0,1,2,3,4|||0|False||58
133|Jazz2|15:08-16:00|0,1,2,3,4|||0|False||58
134|Doble Click|07:00-08:00|0,1,2,3,4|Lucia Brocal, Paula Scorza||0|False||2
135|Al Dia 810|07:00-08:00|0,1,2,3,4|||0|False|https://twitter.com/aldia810|4
136|Basquetbol de Primera|19:15-20:00|0,1,2,3,4|Alberto Sonsol, Carlos Peinado, Flavio Ottonello||0|False|https://twitter.com/basquet810|4
137|Feliz Dia|11:00-13:00|0,1,2,3,4|Gustav||0|False|https://twitter.com/elgrangustaf|100
138|Todo Pasa|10:00-12:00|0,1,2,3,4|Andres, Majo||0|False|https://twitter.com/todopasaoceano|1
