50|RPP Noticias|https://18233.live.streamtheworld.com/RADIO_RPP.mp3|rpp.png|Peru|3|News|2|False|
51|Studio 92|https://18623.live.streamtheworld.com/RADIO_STUDIO92_SC|studio92.png|Peru|4|Hits|2|False|
52|Oxigeno|https://15373.live.streamtheworld.com/RADIO_OXIGENO_SC|oxigeno.png|Peru|3|Rock|1|False|
53|Radio Oasis|https://14003.live.streamtheworld.com/CRP_OAS_SC|oasis.png|Peru|4|Rock|3|False|
54|AM 750|http://192.99.38.174:9342/stream|am750.png|Argentina|3|News|3|False|
55|La Costa FM|http://195.154.182.222:27126/stream|lacosta.png|Uruguay|2|Hits|1|False|
56|Radiocero|http://192.99.150.52:7902|radiocero.png|Uruguay|2|Hits|1|False|
57|Metropolis|http://51.15.152.81:8141/stream/1/|metropolis.png|Uruguay|2|Hits|1|False|
58|Babel|http://radiosrnu.com:9340/stream/1/|Babel.png|Uruguay|17|Jazz|4|True|Música de calidad para perder los prejuicios.
59|Concierto Urbana|http://streaming.conciertourbana.com/conciertourbana|conciertourbana.png|Uruguay|3|Hits|1|False|Somos la 92.5 FM de Montevideo, Uruguay: una radio de éxitos con los artistas más destacados del mundo.
60|Alfa FM|http://radioonline.netgate.com.uy:8000/alfafm|alfafm.png|Uruguay|3|Hits|1|False|
61|WBGO|http://wbgo.streamguys.net/wbgo128|WBGO.png|USA|2|Jazz|3|False|
62|Jazz Groove East|http://east-mp3-128.streamthejazzgroove.com/;stream.mp3|Jazz Groove East.png|USA|1|Jazz|2|False|
63|Jazz 88.3|https://ksds-ice.streamguys1.com/ksds.mp3|Jazz 88.3.png|USA|2|Jazz|2|False|
64|Jazz 24|http://icy1.abacast.com/kplu-jazz24aac-64|Jazz 24.png|USA|5|Jazz|3|False|Welcome to Jazz24, broadcasting from Seattle, Washington.
66|Smooth Jazz|http://stream14.shoutcastsolutions.com:8057/256stream|SmoothJazz.png|Poland|3|Jazz|2|False|
67|KJazz 88.1|https://1.ice1.sslstream.com:80/kkjz_fm.aac|KJazz.png|USA|1|Jazz|2|False|
68|ABC Radio|http://live-radio02.mediahubaustralia.com/JAZW/mp3/|ABC Radio.png|Australia|1|Jazz|2|False|ABC Jazz is a digital radio station, available on digital TV (Aus chan 201), DAB+, ABC Listen App and online.
69|Jazz London|http://radio.canstream.co.uk:8075/live.mp3|Jazz London.png|UK|2|Jazz|3|False|
70|Audiophile Jazz|http://8.38.78.173:8210|Audiophile Jazz.png|Greece|2|Jazz|1|False|
71|Audiophile Classic|http://8.38.78.173:8093|Audiophile Classic.png|Greece|1|Classical|2|False|
72|Kiss|http://cloud2.cdnseguro.com:23538/;|Kiss.png|Brazil|1|Rock|1|False|
73|Clasica|http://radiosrnu.com:9334/stream|Clasica.png|Uruguay|2|Classical|2|False|
74|Del Sur|http://radiosrnu.com:9338/stream|Del Sur.png|Uruguay|2|Rock|2|False|La emisora de la música nacional, conducida por músicos y periodistas vinculados a la música.
75|Radio Uruguay|http://radiosrnu.com:9336/stream|Radio Uruguay.png|Uruguay|2|News|2|False|La radio de la palabra, la información y el periodismo, en todos sus géneros y contenidos.
76|Onda Cero|http://icecast-streaming.nice264.com/ondacero|Onda Cero.png|Spain|3|Sports|1|False|
77|RNE|http://195.10.10.206/rtve/rtve-rne.mp3|RNE.png|Spain|1|News|1|False|
78|Clarin|http://usa15.ciudaddigital.com.uy:8032/ClarinAM|Clarin.png|Uruguay|1|Folclore|2|False|
79|Radio Cooperativa|http://unlimited4-us.dps.live/cooperativafm/mp3/icecast.audio|Radio Cooperativa.png|Chile|1|News|3|False|
80|Oriental|http://192.99.150.52:7906|Oriental.png|Uruguay|2|News|2|False|
81|Radio Nacional|http://radio.radionacional.com.uy:8090/stream/1/|Radio Nacional.png|Uruguay|0||1|False|
