1|Nirvana All Songs|Nirvana.png|Nirvana|Nirvana|Grunge
2|Trotsky|Trotsky.png|Trotsky|Trotsky Vengaran|Rock Uruguayo
3|Redondos|Redondos.png|Redondos|Los Redondos|Rock
