29|Santiago|https://cdn.dl.uy//solmp3/11224.mp3||2019.02.27-12:00:00|False||0|47
30|Paris|https://cdn.dl.uy//solmp3/13053.mp3||2019.05.20-12:00:00|False||0|47
31|Estambul|https://cdn.dl.uy//solmp3/8686.mp3||2018.09.12-12:00:00|True|8686.mp3|0|47
32|Sevilla, Córdoba y Granada|https://cdn.dl.uy//solmp3/9467.mp3||2018.10.24-12:00:00|False||0|47
33|La Ruta de los Corales|https://cdn.dl.uy//solmp3/12245.mp3||2019.04.17-12:00:00|False||0|47
34|Seriados: Dark|http://audios.oceanofm.com/programas/Abrepalabra/19-06-27seriados-AudioTrimmer.com.mp3|None|2019.06.27-00:00:00|False||0|38
35|Abrepalabra 01/07/19|http://audios.oceanofm.com/programas/Abrepalabra/19-07-01completo.mp3|Programa completo emitido el día primero de julio de 2019.|2019.07.01-00:00:00|False||0|38
36|Abrepalabra 02/07/19|http://audios.oceanofm.com/programas/Abrepalabra/19-07-02completo.mp3|Programa completo emitido el día dos de julio de 2019.|2019.07.02-00:00:00|False||0|38
37|Próximo estreno: Years and Years|https://cdn.espectador.com/810mp3/2104.mp3||2019.06.27-12:00:00|False||0|41
38|La derrota |https://cdn.espectador.com/810mp3/2178.mp3|None|2019.07.02-12:00:00|False||0|43
39|Los Dolcheviques |https://cdn.espectador.com/810mp3/1914.mp3|None|2019.06.18-12:00:00|False||0|43
40|Campañas políticas en entredicho |https://cdn.espectador.com/810mp3/2039.mp3|None|2019.06.25-12:00:00|False||0|43
41|Plataforma de Screaming  |https://cdn.espectador.com/810mp3/2227.mp3||2019.07.04-12:00:00|False||0|43
42|Chernobyl: un hito impensado  |https://cdn.espectador.com/810mp3/1964.mp3|Migue Dobrich y Maxi Guerra nos hablan del drama histórico, desarrollado en una mini serie de cinco capítulos por HBO en coproducción con Netflix.|2019.06.20-12:00:00|False||0|44
43|Rever series |https://cdn.espectador.com/810mp3/2068.mp3|Volver a las cosas que más disfrutamos, Migue Dobrich nos cuenta sobre los cambios de Netflix.|2019.06.26-12:00:00|False||0|44
44|El futuro de los videojuegos |https://cdn.espectador.com/810mp3/1700.mp3|Miguel Ángel Dobrich habló de “Google Stadia” la nueva plataforma que se lanzará en noviembre y ofrecerá vía streaming la posibilidad de jugar desde cualquier dispositivo.|2019.06.06-12:00:00|False||0|44
45|Vacaciones de julio puertas adentro |https://cdn.espectador.com/810mp3/2175.mp3|Migue Dobrich nos da una serie de recomendaciones disponibles en internet, para mirar con los más chicos en estas vacaciones de invierno.|2019.07.02-12:00:00|True|2175.mp3|28065408|44
46|Gonza Delgado tratando de resucitar desde Brasil|https://cdn.dl.uy//solmp3/13671.mp3|None|2019.06.30-12:00:00|False||0|35
47|El colectivo de Brasil le ganó a una Argentina que luchó|https://cdn.dl.uy//solmp3/13737.mp3||2019.07.02-12:00:00|False||0|35
48|Ep222: Simular Universo en IA; Hiperactividad y Cerebro; Estrellas Pulsantes; Meteoritos Marcianos; 2º FRB localizado!|http://www.ivoox.com/ep222-simular-universo-ia-hiperactividad-cerebro_mf_38023907_feed_1.mp3||2019.07.04-21:34:31|False||82349706|8
49|Ep221: Serie Chernobyl; Energía Oscura/Gravedad Cuántica; Nuevos Exoplanetas; Más Metano en Marte; Seres Pluricelulares|http://www.ivoox.com/ep221-serie-chernobyl-energia-oscura-gravedad-cuantica-nuevos-exoplanetas_mf_37684881_feed_1.mp3||2019.06.27-21:11:48|False||78840520|8
50|#104 Hello Ads!|https://tracking.feedpress.it/link/18898/10503084/EstoConJobsNoPasaba104.mp3||2018.10.07-07:32:31|False||167956080|26
52|El Primer Palo (04/07/19): Programa completo|http://audios.esradio.fm/deportes/19/07/05/el-primer-palo-04-07-19-programa-completo-138372.mp3?aw_0_req.gdpr=false|Comentario de Juanma sobre Messi. Tertulia con Ilie Oleart y Paul Tenorio. K2 con César Pérez de Tudela. |2019.07.05-00:21:53|False||89899288|42
53|Ernesto y los pectorales ciclópeos de Abril|https://audios.oceanofm.com/programas/DeArribaunRayo/18-05-08ernesto.mp3||2018.05.08-12:00:00|True|18-05-08ernesto.mp3|18507131|36
54|Ernesto y el malvón de Majo|https://audios.oceanofm.com/programas/DeArribaunRayo/18-09-18ernesto.mp3||2018.09.18-12:00:00|False||10742285|36
55|Se mamó Ernesto|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-04ernesto.mp3||2018.10.04-12:00:00|False||6397808|36
56|Ernesto es inocente|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-16ernestoypepperadeclarar.mp3||2018.10.16-12:00:00|False||10156306|36
57|Ernesto el grande|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-23ernesto.mp3||2018.10.23-12:00:00|False||8038507|36
58|Ernesto y la ropa interior de Majo|https://audios.oceanofm.com/programas/DeArribaunRayo/18-10-30ernesto.mp3||2018.10.30-12:00:00|False||10873838|36
60|Ernesto hace la cola|https://audios.oceanofm.com/programas/DeArribaunRayo/18-11-13ernestohacelacola.mp3||2018.11.13-12:00:00|False||9256336|36
61|Ernesto el bello|http://audios.oceanofm.com/programas/DeArribaunRayo/18-12-11ernestoelbello.mp3||2018.12.11-12:00:00|False||10671650|36
